Ward name,Median Household income estimate
Hackney - Chatham,32510
Hackney - Clissold,45450
Hackney - Dalston,38230
Hackney - De Beauvoir,39060
Hackney - Hackney Central,35260
Hackney - Hackney Downs,35700
Hackney - Haggerston,36080
Hackney - Hoxton,34970
Hackney - King's Park,31970
Hackney - Leabridge,35110
Hackney - Lordship,39940
Hackney - New River,35590
Hackney - Queensbridge,36720
Hackney - Springfield,33570
Hackney - Stoke Newington Central,42400
Hackney - Victoria,37350
Hackney - Wick,32890
Hammersmith and Fulham - Addison,43970
Hammersmith and Fulham - Askew,38450
Hammersmith and Fulham - Avonmore and Brook Green,43350
Hammersmith and Fulham - College Park and Old Oak,30890
Hammersmith and Fulham - Fulham Broadway,42130
Hammersmith and Fulham - Fulham Reach,42010
Hammersmith and Fulham - Hammersmith Broadway,39500
Hammersmith and Fulham - Munster,50240
Hammersmith and Fulham - North End,39510
Hammersmith and Fulham - Palace Riverside,53330
Hammersmith and Fulham - Parsons Green and Walham,55720
Hammersmith and Fulham - Ravenscourt Park,45510
Hammersmith and Fulham - Sands End,44170
Hammersmith and Fulham - Shepherd's Bush Green,36430
Hammersmith and Fulham - Town,47940
Hammersmith and Fulham - Wormholt and White City,31860
Haringey - Alexandra,51450
Haringey - Bounds Green,34550
Haringey - Bruce Grove,30340
Haringey - Crouch End,52070
Haringey - Fortis Green,49950
Haringey - Harringay,37150
Haringey - Highgate,53710
Haringey - Hornsey,40260
Haringey - Muswell Hill,53910
Haringey - Noel Park,30620
Haringey - Northumberland Park,25090
Haringey - St. Ann's,32460
Haringey - Seven Sisters,33500
Haringey - Stroud Green,44780
Haringey - Tottenham Green,28920
Haringey - Tottenham Hale,27340
Haringey - West Green,31110
Haringey - White Hart Lane,27010
Haringey - Woodside,32010
Harrow - Belmont,42380
Harrow - Canons,39890
Harrow - Edgware,33600
Harrow - Greenhill,37550
Harrow - Harrow on the Hill,39630
Harrow - Harrow Weald,36940
Harrow - Hatch End,42350
Harrow - Headstone North,44470
Harrow - Headstone South,39090
Harrow - Kenton East,32880
Harrow - Kenton West,38400
Harrow - Marlborough,34450
Harrow - Pinner,43950
Harrow - Pinner South,49420
Harrow - Queensbury,35030
Harrow - Rayners Lane,40310
Harrow - Roxbourne,32130
Harrow - Roxeth,35110
Harrow - Stanmore Park,39210
Harrow - Wealdstone,32080
Harrow - West Harrow,40210
Havering - Brooklands,35250
Havering - Cranham,42250
Havering - Elm Park,34730
Havering - Emerson Park,43790
Havering - Gooshays,29400
Havering - Hacton,39740
Havering - Harold Wood,37010
Havering - Havering Park,33590
Havering - Heaton,29560
Havering - Hylands,39890
Havering - Mawneys,35820
Havering - Pettits,40010
Havering - Rainham and Wennington,34470
Havering - Romford Town,37160
Havering - St. Andrew's,38130
Havering - South Hornchurch,33160
Havering - Squirrel's Heath,41740
Havering - Upminster,47580
Hillingdon - Barnhill,31800
Hillingdon - Botwell,30700
Hillingdon - Brunel,34630
Hillingdon - Cavendish,43970
Hillingdon - Charville,35410
Hillingdon - Eastcote and East Ruislip,47380
Hillingdon - Harefield,37990
Hillingdon - Heathrow Villages,33170
Hillingdon - Hillingdon East,37250
Hillingdon - Ickenham,48770
Hillingdon - Manor,43460
Hillingdon - Northwood,46550
Hillingdon - Northwood Hills,43320
Hillingdon - Pinkwell,31830
Hillingdon - South Ruislip,40060
Hillingdon - Townfield,30430
Hillingdon - Uxbridge North,41470
Hillingdon - Uxbridge South,34270
Hillingdon - West Drayton,32680
Hillingdon - West Ruislip,43470
Hillingdon - Yeading,33240
Hillingdon - Yiewsley,32340
Hounslow - Bedfont,31870
Hounslow - Brentford,35040
Hounslow - Chiswick Homefields,51830
Hounslow - Chiswick Riverside,49680
Hounslow - Cranford,30860
Hounslow - Feltham North,32850
Hounslow - Feltham West,34010
Hounslow - Hanworth,31150
Hounslow - Hanworth Park,34340
Hounslow - Heston Central,33580
Hounslow - Heston East,34030
Hounslow - Heston West,29490
Hounslow - Hounslow Central,35830
Hounslow - Hounslow Heath,32530
Hounslow - Hounslow South,39920
Hounslow - Hounslow West,31890
Hounslow - Isleworth,34790
Hounslow - Osterley and Spring Grove,42140
Hounslow - Syon,37040
Hounslow - Turnham Green,47080
Islington - Barnsbury,44970
Islington - Bunhill,39200
Islington - Caledonian,35840
Islington - Canonbury,40590
Islington - Clerkenwell,43350
Islington - Finsbury Park,33620
Islington - Highbury East,47810
Islington - Highbury West,43800
Islington - Hillrise,39090
Islington - Holloway,35430
Islington - Junction,39470
Islington - Mildmay,39300
Islington - St. George's,40860
Islington - St. Mary's,46190
Islington - St. Peter's,43870
Islington - Tollington,38090
Kensington and Chelsea - Abingdon,54690
Kensington and Chelsea - Brompton,64320
Kensington and Chelsea - Campden,65500
Kensington and Chelsea - Colville,43560
Kensington and Chelsea - Courtfield,61810
Kensington and Chelsea - Cremorne,43920
Kensington and Chelsea - Earl's Court,44100
Kensington and Chelsea - Golborne,30100
Kensington and Chelsea - Hans Town,58100
Kensington and Chelsea - Holland,54770
Kensington and Chelsea - Norland,53430
Kensington and Chelsea - Notting Barns,36690
Kensington and Chelsea - Pembridge,55710
Kensington and Chelsea - Queen's Gate,63630
Kensington and Chelsea - Redcliffe,54550
Kensington and Chelsea - Royal Hospital,60600
Kensington and Chelsea - St. Charles,36100
Kensington and Chelsea - Stanley,54990
Kingston upon Thames - Alexandra,41390
Kingston upon Thames - Berrylands,42330
Kingston upon Thames - Beverley,40700
Kingston upon Thames - Canbury,45600
Kingston upon Thames - Chessington North and Hook,37230
Kingston upon Thames - Chessington South,38310
Kingston upon Thames - Coombe Hill,45650
Kingston upon Thames - Coombe Vale,44320
Kingston upon Thames - Grove,41410
Kingston upon Thames - Norbiton,34650
Kingston upon Thames - Old Malden,41760
Kingston upon Thames - St. James,41850
Kingston upon Thames - St. Mark's,44930
Kingston upon Thames - Surbiton Hill,43160
Kingston upon Thames - Tolworth and Hook Rise,37840
Kingston upon Thames - Tudor,48530
Lambeth - Bishop's,40360
Lambeth - Brixton Hill,39050
Lambeth - Clapham Common,49520
Lambeth - Clapham Town,44960
Lambeth - Coldharbour,32220
Lambeth - Ferndale,39480
Lambeth - Gipsy Hill,36650
Lambeth - Herne Hill,41700
Lambeth - Knight's Hill,36950
Lambeth - Larkhall,37260
Lambeth - Oval,39200
Lambeth - Prince's,37600
Lambeth - St. Leonard's,39880
Lambeth - Stockwell,35050
Lambeth - Streatham Hill,39250
Lambeth - Streatham South,36710
Lambeth - Streatham Wells,38270
Lambeth - Thornton,41880
Lambeth - Thurlow Park,41600
Lambeth - Tulse Hill,35610
Lambeth - Vassall,34830
Lewisham - Bellingham,31340
Lewisham - Blackheath,44870
Lewisham - Brockley,38100
Lewisham - Catford South,39070
Lewisham - Crofton Park,42560
Lewisham - Downham,30880
Lewisham - Evelyn,30560
Lewisham - Forest Hill,40960
Lewisham - Grove Park,36150
Lewisham - Ladywell,40290
Lewisham - Lee Green,42760
Lewisham - Lewisham Central,35760
Lewisham - New Cross,31520
Lewisham - Perry Vale,39130
Lewisham - Rushey Green,34670
Lewisham - Sydenham,37060
Lewisham - Telegraph Hill,37230
Lewisham - Whitefoot,32840
Merton - Abbey,45370
Merton - Cannon Hill,42320
Merton - Colliers Wood,38780
Merton - Cricket Green,29930
Merton - Dundonald,49910
Merton - Figge's Marsh,30860
Merton - Graveney,35580
Merton - Hillside,51480
Merton - Lavender Fields,33360
Merton - Longthornton,34350
Merton - Lower Morden,38730
Merton - Merton Park,46300
Merton - Pollards Hill,31940
Merton - Ravensbury,32330
Merton - Raynes Park,49340
Merton - St. Helier,32530
Merton - Trinity,47380
Merton - Village,62200
Merton - West Barnes,44170
Merton - Wimbledon Park,50730
Newham - Beckton,34100
Newham - Boleyn,31630
Newham - Canning Town North,28910
Newham - Canning Town South,32870
Newham - Custom House,31840
Newham - East Ham Central,32380
Newham - East Ham North,32340
Newham - East Ham South,31430
Newham - Forest Gate North,34270
Newham - Forest Gate South,34550
Newham - Green Street East,31570
Newham - Green Street West,31080
Newham - Little Ilford,29730
Newham - Manor Park,31580
Newham - Plaistow North,30740
Newham - Plaistow South,31750
Newham - Royal Docks,38580
Newham - Stratford and New Town,35840
Newham - Wall End,32330
Newham - West Ham,32310
Redbridge - Aldborough,37310
Redbridge - Barkingside,39620
Redbridge - Bridge,39320
Redbridge - Chadwell,36700
Redbridge - Church End,45410
Redbridge - Clayhall,41450
Redbridge - Clementswood,30230
Redbridge - Cranbrook,38290
Redbridge - Fairlop,37560
Redbridge - Fullwell,35690
Redbridge - Goodmayes,33820
Redbridge - Hainault,31520
Redbridge - Loxford,28500
Redbridge - Mayfield,35630
Redbridge - Monkhams,48780
Redbridge - Newbury,35550
Redbridge - Roding,41040
Redbridge - Seven Kings,34480
Redbridge - Snaresbrook,45160
Redbridge - Valentines,34900
Redbridge - Wanstead,46370
Richmond upon Thames - Barnes,55450
Richmond upon Thames - East Sheen,56090
Richmond upon Thames - Fulwell and Hampton Hill,48810
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",44870
Richmond upon Thames - Hampton,46750
Richmond upon Thames - Hampton North,39440
Richmond upon Thames - Hampton Wick,46760
Richmond upon Thames - Heathfield,36950
Richmond upon Thames - Kew,52130
Richmond upon Thames - Mortlake and Barnes Common,50100
Richmond upon Thames - North Richmond,50860
Richmond upon Thames - St. Margarets & North Twickenham,52870
Richmond upon Thames - South Richmond,52690
Richmond upon Thames - South Twickenham,51380
Richmond upon Thames - Teddington,50600
Richmond upon Thames - Twickenham Riverside,51350
Richmond upon Thames - West Twickenham,45040
Richmond upon Thames - Whitton,42230
Southwark - Brunswick Park,36310
Southwark - Camberwell Green,31840
Southwark - Cathedrals,40430
Southwark - Chaucer,37780
Southwark - College,42600
Southwark - East Dulwich,48670
Southwark - East Walworth,31010
Southwark - Faraday,30760
Southwark - Grange,38500
Southwark - Livesey,28880
Southwark - Newington,34190
Southwark - Nunhead,33540
Southwark - Peckham,30030
Southwark - Peckham Rye,42820
Southwark - Riverside,43110
Southwark - Rotherhithe,36970
Southwark - South Bermondsey,31150
Southwark - South Camberwell,41130
Southwark - Surrey Docks,45410
Southwark - The Lane,37940
Southwark - Village,58400
Sutton - Beddington North,39290
Sutton - Beddington South,35600
Sutton - Belmont,44260
Sutton - Carshalton Central,42200
Sutton - Carshalton South and Clockhouse,44270
Sutton - Cheam,46220
Sutton - Nonsuch,42640
Sutton - St. Helier,31040
Sutton - Stonecot,39210
Sutton - Sutton Central,35660
Sutton - Sutton North,38060
Sutton - Sutton South,40460
Sutton - Sutton West,41610
Sutton - The Wrythe,36790
Sutton - Wallington North,38710
Sutton - Wallington South,37960
Sutton - Wandle Valley,32330
Sutton - Worcester Park,40610
Tower Hamlets - Bethnal Green North,36230
Tower Hamlets - Bethnal Green South,32860
Tower Hamlets - Blackwall and Cubitt Town,43330
Tower Hamlets - Bow East,36800
Tower Hamlets - Bow West,41000
Tower Hamlets - Bromley-by-Bow,31980
Tower Hamlets - East India and Lansbury,29680
Tower Hamlets - Limehouse,36260
Tower Hamlets - Mile End and Globe Town,34300
Tower Hamlets - Mile End East,32510
Tower Hamlets - Millwall,46940
Tower Hamlets - St. Dunstan's and Stepney Green,32930
Tower Hamlets - St. Katherine's and Wapping,50770
Tower Hamlets - Shadwell,36360
Tower Hamlets - Spitalfields and Banglatown,39910
Tower Hamlets - Weavers,37760
Tower Hamlets - Whitechapel,37600
Waltham Forest - Cann Hall,32700
Waltham Forest - Cathall,30950
Waltham Forest - Chapel End,36440
Waltham Forest - Chingford Green,39280
Waltham Forest - Endlebury,38580
Waltham Forest - Forest,36080
Waltham Forest - Grove Green,36350
Waltham Forest - Hale End and Highams Park,39490
Waltham Forest - Hatch Lane,36110
Waltham Forest - High Street,34810
Waltham Forest - Higham Hill,31270
Waltham Forest - Hoe Street,34890
Waltham Forest - Larkswood,35170
Waltham Forest - Lea Bridge,31450
Waltham Forest - Leyton,31040
